
1,500
2,500
3,1000
4,1000
5,400
6,500
7,2000
8,1000
9,6000
10,1000
11,100
12,1000
13,1000
14,1000
15,2000
16,1000
17,1000
18,2000
19,500
20,1000
21,5000
22,40000
23,200
24,2000
25,2000
26,200
27,1000
28,1000
29,2000
30,2000
31,2000
32,1000
33,2000
34,1000
35,1000
36,3000
37,2000
38,2000
39,2000
40,1000
41,1000
42,2000
43,2000
44,400
45,500
46,2000
47,4000
49,0
50,1000
51,1000
52,500
53,1000
54,500
55,20000
56,2000
57,2000
58,2000
59,2000
60,2000
61,5000
62,400
63,1000
64,2000
65,4000
66,500
67,2000
68,1000
69,2000
70,10000
71,1000
72,2000
73,1000
74,0
75,2000
76,4000
77,2000
78,2000
79,4000
80,0
81,1000
82,2000
83,2000
84,1000
85,2000
86,1000
87,2500
88,1000
89,1000
90,2000
91,50000
92,2000
93,2000
94,2000
95,4000
96,2000
97,1000
98,1000
99,1000
100,1000
101,1000
102,2000
103,2000
104,5000
105,2000
106,4000
107,2000
108,2000
109,10000
110,2000
111,2000
112,2000
113,500
114,5000
115,10000
116,1000
117,2000
118,2000
119,1000
120,20000
121,10000
122,1000
123,2000
124,2000
125,2000
126,2000
127,500
128,4000
129,2000
130,2000
131,1000
132,1000
133,2000
135,2000
136,4000
137,1000
138,2000
139,14000
141,2000
142,2000
143,2000
144,2000
145,8000
146,1000
147,5000
148,500
149,5000
151,1000
152,500
154,1000
155,10000
156,10000
157,10000
158,500
159,4000
160,2000
161,2000
162,2000
163,2000
164,25000
165,2000
166,2000
167,2000
168,2000
169,1000
170,5000
171,2000
172,10000
173,1000
174,2000
175,5000
176,2000
177,2000
178,2000
179,500
180,2000
181,20000
182,10000
183,8000
184,2000
185,10000
186,2000
187,2000
188,10000
189,1000
190,1000
191,1000
193,5000
194,2000
195,10000
196,1000
197,5000
198,4000
199,1000
200,1000
201,2000
202,5000
203,0
204,20000
205,2000
206,1000
207,2000
208,5000
209,4000
210,2000
211,10000
212,500
213,2000
214,2000
215,2000
216,4000
217,2000
218,5000
219,2000
220,1000
221,4000
222,2000
223,2000
224,4000
225,2000
226,1000
227,8000
